,Registration,Ballots Cast,Turnout (%),YES,NO,Under Vote,Over Vote
200100 - Vote by Mail Reporting,765,437,57.12,287,95,41,1
200100 - Election Day Reporting,765,225,29.41,155,49,22,0
200200 - Vote by Mail Reporting,715,361,50.49,232,93,25,0
200200 - Election Day Reporting,715,256,35.8,154,69,32,0
200300 - Vote by Mail Reporting,589,317,53.82,189,79,37,0
200300 - Election Day Reporting,589,168,28.52,106,44,17,0
200600 - Vote by Mail Reporting,684,353,51.61,224,89,31,1
200600 - Election Day Reporting,684,220,32.16,129,49,40,0
200700 - Vote by Mail Reporting,671,347,51.71,241,68,30,1
200700 - Election Day Reporting,671,199,29.66,136,36,27,0
200800 - Vote by Mail Reporting,617,333,53.97,211,83,30,0
200800 - Election Day Reporting,617,188,30.47,124,34,30,0
201000 - Vote by Mail Reporting,612,309,50.49,204,66,30,0
201000 - Election Day Reporting,612,210,34.31,144,48,20,0
201100 - Vote by Mail Reporting,675,362,53.63,253,74,28,0
201100 - Election Day Reporting,675,211,31.26,154,22,35,0
201300 - Vote by Mail Reporting,627,292,46.57,215,50,19,0
201300 - Election Day Reporting,627,214,34.13,151,30,32,0
201400 - Vote by Mail Reporting,842,403,47.86,270,84,33,0
201400 - Election Day Reporting,842,288,34.2,210,41,37,0
201410 - Vote by Mail Reporting,592,282,47.64,171,72,29,0
201410 - Election Day Reporting,592,199,33.61,119,54,26,0
201500 - Vote by Mail Reporting,634,315,49.68,205,59,32,0
201500 - Election Day Reporting,634,201,31.7,130,34,37,0
201700 - Vote by Mail Reporting,946,332,35.1,225,54,30,0
201700 - Election Day Reporting,946,332,35.1,230,37,63,0
201800 - Vote by Mail Reporting,833,353,42.38,236,63,36,0
201800 - Election Day Reporting,833,289,34.69,186,41,63,0
201900 - Vote by Mail Reporting,424,149,35.14,90,26,23,0
201900 - Election Day Reporting,424,141,33.25,96,21,23,1
202110 - Vote by Mail Reporting,770,273,35.45,191,41,30,0
202110 - Election Day Reporting,770,281,36.49,197,31,54,0
202310 - Vote by Mail Reporting,936,247,26.39,169,46,17,0
202310 - Election Day Reporting,936,248,26.5,157,33,58,0
202400 - Vote by Mail Reporting,680,93,13.68,51,11,23,0
202400 - Election Day Reporting,680,334,49.12,214,26,92,0
202410 - Vote by Mail Reporting,1116,191,17.11,126,28,25,1
202410 - Election Day Reporting,1116,370,33.15,244,33,92,0
202500 - Vote by Mail Reporting,1111,132,11.88,70,14,40,0
202500 - Election Day Reporting,1111,331,29.79,210,38,84,0
202510 - Vote by Mail Reporting,1410,110,7.8,71,11,20,0
202510 - Election Day Reporting,1410,385,27.3,241,33,106,0
202520 - Vote by Mail Reporting,506,39,7.71,29,3,6,0
202520 - Election Day Reporting,506,129,25.49,73,14,42,0
202620 - Vote by Mail Reporting,1614,221,13.69,139,29,48,0
202620 - Election Day Reporting,1614,748,46.34,469,55,224,2
202710 - Vote by Mail Reporting,794,213,26.83,150,30,27,0
202710 - Election Day Reporting,794,301,37.91,209,33,58,0
202900 - Vote by Mail Reporting,664,309,46.54,207,53,31,0
202900 - Election Day Reporting,664,215,32.38,133,37,42,0
203100 - Vote by Mail Reporting,724,347,47.93,230,73,31,0
